Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,No_Paris,Argentina,Final Energy|Transportation|Electricity,EJ/yr,0.002065683,0.002219177,0.00713721,0.01159995,0.017368236,0.025040993,0.036792836,0.05388574,0.077852528,0.108254975,0.141177752
GCAM,No_Paris,Argentina,Final Energy|Transportation|Freight,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Argentina,Final Energy|Transportation|Gases,EJ/yr,0.1109577,0.093295,0.127043996,0.151233965,0.207739429,0.30043825,0.388830473,0.49538101,0.624244013,0.773469923,0.90782614
GCAM,No_Paris,Argentina,Final Energy|Transportation|Hydrogen,EJ/yr,0,0,0.000487347,0.003383494,0.008314697,0.014896492,0.024130999,0.036739524,0.053221268,0.072071902,0.091200922
GCAM,No_Paris,Argentina,Final Energy|Transportation|Liquids,EJ/yr,0.487150377,0.619545166,0.881900235,1.012270587,1.098107589,1.172348031,1.28382506,1.449408063,1.652008182,1.829550326,1.9394116
GCAM,No_Paris,Argentina,Final Energy|Transportation|Passenger,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Argentina,Emissions|CO2,Mt CO2/yr,169.7249497,557.8009953,261.1850951,326.5045782,349.0298041,341.5276051,339.3970597,354.4243992,376.1709846,396.4483602,407.0742914
GCAM,No_Paris,Argentina,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,54.55818397,53.87830969,68.34222846,75.1524297,76.05105581,77.5713103,81.20298098,84.05030986,85.91223667,85.01739158,78.30476111
GCAM,No_Paris,Argentina,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,19.64676432,23.87305048,30.90166847,32.70512188,33.80433125,33.51696527,33.38794757,33.30192535,32.76723618,31.21443159,27.33954985
GCAM,No_Paris,Argentina,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,42.02501633,50.63545582,71.80734319,82.72140778,91.99114771,102.2783315,114.8771847,132.3093069,153.5592219,173.9285894,187.9432056
GCAM,No_Paris,Argentina,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,30.74623101,43.09769086,72.49614471,90.30818929,90.64413853,91.5944007,84.31766636,78.0689906,74.65767507,70.6774721,54.5194617
GCAM,No_Paris,Argentina,Emissions|CO2|Land Use,Mt CO2/yr,15.75513516,380.2708895,4.235444462,21.27238897,32.80981857,18.87426061,9.619109317,4.60611232,-1.120316923,-2.700746638,2.924537711
GCAM,No_Paris,Argentina,Emissions|BC,Mt BC/yr,0.068067316,0.070695927,0.056168209,0.051379093,0.047103922,0.044582384,0.042357444,0.040047423,0.038754485,0.037286455,0.03587593
GCAM,No_Paris,Argentina,Emissions|CH4,Mt CH4/yr,4.771010477,5.469693755,5.878551171,6.650353027,7.085684024,7.558356476,7.923942161,8.093789267,8.483606385,8.616724552,8.265466954
GCAM,No_Paris,Argentina,Emissions|CO,Mt CO/yr,7.548879043,17.0836708,16.69185263,16.71748301,16.81474026,17.29874307,17.60239046,17.85558376,17.98331596,17.8606789,17.61723899
GCAM,No_Paris,Argentina,Emissions|F-Gases,Mt CO2-equiv/yr,0.73563812,0.79472445,6.095448281,12.42299762,10.40348981,11.5740293,13.39890256,14.88008085,16.81800195,18.13801082,18.19326613
GCAM,No_Paris,Argentina,Emissions|N2O,kt N2O/yr,16.5841878,44.12286938,45.91717865,46.72817724,46.1121174,46.25865806,46.57858549,46.78556894,47.10091428,47.10927023,46.73378371
GCAM,No_Paris,Argentina,Emissions|NOx,Mt NO2/yr,0.714722776,1.208230253,1.061393258,1.009447122,0.964418076,0.941104872,0.913596184,0.889346893,0.871225203,0.85353992,0.828363308
GCAM,No_Paris,Argentina,Emissions|OC,Mt OC/yr,0.249760868,0.237901798,0.211382108,0.204422527,0.197316601,0.194742096,0.191748188,0.188116906,0.183840509,0.180097304,0.176907493
GCAM,No_Paris,Argentina,Emissions|Sulfur,Mt SO2/yr,0.279530889,0.498577021,0.427948991,0.397875255,0.343604078,0.308837211,0.274907423,0.248568651,0.229827066,0.219467473,0.209442344
GCAM,No_Paris,Argentina,Land Cover|Cropland,million Ha/yr,29.48556709,38.33987366,38.3616021,39.86740035,41.75852158,42.8778137,43.33374215,43.64430692,43.63602372,43.54840593,43.73395577
GCAM,No_Paris,Argentina,Land Cover|Forest,million Ha/yr,19.08527559,17.74727249,17.90475809,17.84237872,17.81540873,17.76983577,17.77405049,17.78549398,17.80692351,17.82602442,17.8577906
GCAM,No_Paris,Argentina,Land Cover|Pasture,million Ha/yr,99.59248352,107.8052174,108.2366007,107.8751098,107.2972216,107.1296395,107.0832896,107.0872738,107.2147261,107.3428096,107.2854829
GCAM,No_Paris,Argentina,Price|Carbon,US$2005/tCO2,0,0,0,0,14.55544964,22.32427255,26.83898018,35.54276564,43.33149818,51.00404727,63.06537273
GCAM,No_Paris,Argentina,Temperature|Global Mean,degrees C,0.771346,0.853134,1.04532,1.28954,1.58806,1.89943,2.21577,2.53415,2.85224,3.1639,3.47718
GCAM,No_Paris,Australia_NZ,GDP|MER,billion US$2005/yr,616.58538,676.7313,843.03648,1024.4844,1224.42156,1439.8092,1658.76,1862.5722,2038.3428,2217.3012,2452.5636
GCAM,No_Paris,Australia_NZ,Population,million,24.511,25.8,28.193,30.398,32.134,33.249,33.782,33.626,32.937,32.005,31.113
GCAM,No_Paris,Australia_NZ,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.056808738,0.155847365,0.249409602,0.383327033,0.535262336,0.699402081,1.375986111
GCAM,No_Paris,Australia_NZ,Primary Energy|Biomass|w/o CCS,EJ/yr,0.271054,0.281566,0.324641,0.382997,0.521269262,0.643335635,0.750445398,0.825322967,0.849437664,0.849667919,0.895353889
GCAM,No_Paris,Australia_NZ,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0.098543567,0.219254215,0.297496559,0.337698192,0.363406939,0.394620902,0.445244402
