# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 09:45:08 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Coal,EJ/yr,0.00237117,0.00341518,0.01593829,0.022604811,0.024019919,0.025209799,0.02464598,0.025061747,0.029025919,0.038255846,0.052892588
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,2.48E-05,0.000581351,0.002647974,0.00746855,0.01525374,0.025264368,0.036660639,0.051974246
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.00237117,0.00341518,0.01593829,0.022580011,0.023438568,0.022561825,0.01717743,0.009808007,0.003761551,0.001595207,0.000918342
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Gas,EJ/yr,0.000185098,0.000218584,0.008038568,0.015019547,0.025968291,0.049084975,0.088057968,0.147899813,0.224047805,0.308346073,0.422129792
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0.001577239,0.008680822,0.02625114,0.059057551,0.1081063,0.169635,0.23971479,0.3380798
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.000185098,0.000218584,0.008038568,0.013442308,0.017287469,0.022833835,0.029000417,0.039793513,0.054412805,0.068631283,0.084049992
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0036108,0.0052956,0.0295008,0.05188733,0.07361707,0.07361687,0.073617237,0.07362414,0.073616998,0.073616975,0.073617002
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594571,0.154660874,0.278043424,0.539389757,0.985417315,1.735439767,2.788870137,4.011249711,5.196206805,6.374153322
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0.00233867,0.0194133,0.0786716,0.209343999,0.408583299,0.660838089,0.94970312,1.2443391,1.5376926
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Oil,EJ/yr,0.0265001,0.0368684,0.086895,0.08768716,0.06464665,0.047933371,0.017881455,0.005399627,0.002702249,0.001675655,0.000857617
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,0.0265001,0.0368684,0.086895,0.08768716,0.06464665,0.047933371,0.017881455,0.005399627,0.002702249,0.001675655,0.000857617
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Solar,EJ/yr,3.60E-06,7.20E-06,0.015984111,0.041513194,0.113279507,0.237464218,0.47359038,0.870725607,1.413658843,2.02216469,2.71501355
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Electricity|Wind,EJ/yr,1.11E-05,0.0002327,0.020610163,0.0614329,0.17754118,0.430544227,0.87560015,1.46304939,2.07366287,2.58127414,3.03195177
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Hydrogen,EJ/yr,0,0,0.005486555,0.01750066,0.043179437,0.112143031,0.207201539,0.355374791,0.537316091,0.768803606,1.007143797
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids,EJ/yr,0.52161474,0.7100572,1.3575414,1.815614476,2.179759789,3.015962484,4.193122298,5.716269277,7.345198519,8.88716158,9.860898457
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Biomass,EJ/yr,0,0,0.0232391,0.070264726,0.283801849,0.631518061,0.968546246,1.341734183,1.738762532,2.13078568,2.451354213
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr,0,0,0,0.016570786,0.166687429,0.444201411,0.752396018,1.152461007,1.621979103,2.081226899,2.414964796
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0,0,0.0232391,0.05369394,0.11711442,0.18731665,0.216150228,0.189273176,0.116783429,0.049558781,0.036389417
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Coal,EJ/yr,0,0,0.0204851,0.062184,0.08021858,0.089152847,0.105066822,0.118028414,0.104979207,0.05028768,0.052809794
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr,0,0,0,0.0146736,0.03130653,0.07113001,0.104146065,0.117453148,0.104610066,0.050061703,0.052548255
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr,0,0,0.0204851,0.0475104,0.04891205,0.018022837,0.000920757,0.000575266,0.000369141,0.000225977,0.000261539
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Fossil,EJ/yr,0.00960074,0.0111242,0.0539693,0.19113975,0.30458794,0.505692623,0.663757872,0.787300194,0.849695987,0.860111,1.063427544
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,0,0.0146736,0.03130653,0.07113001,0.104146065,0.117453148,0.104610066,0.050061703,0.052548255
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,0.52161474,0.7100572,1.3138172,1.68316575,1.81573936,2.295291576,3.11950923,4.25650668,5.50145678,6.70608822,7.35673445
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Gas,EJ/yr,0.00960074,0.0111242,0.0334842,0.12895575,0.22436936,0.416539776,0.55869105,0.66927178,0.74471678,0.80982332,1.01061775
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr,0.00960074,0.0111242,0.0334842,0.12895575,0.22436936,0.416539776,0.55869105,0.66927178,0.74471678,0.80982332,1.01061775
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Liquids|Oil,EJ/yr,0.512014,0.698933,1.280333,1.55421,1.59137,1.8787518,2.56081818,3.5872349,4.75674,5.8962649,6.3461167
GCAM,Paris_plus,Africa_Eastern,Secondary Energy|Gases,EJ/yr,0.00196101,0.00541485,0.062229881,0.134949783,0.237563165,0.430954889,0.688168682,1.0365967,1.46139733,1.94694895,2.56259447
GCAM,Paris_plus,Africa_Eastern,Final Energy,EJ/yr,3.353051213,4.256132153,5.677447379,6.90825868,8.163384609,9.60394985,11.72331361,14.31804187,17.13855868,19.92737814,22.38222187
GCAM,Paris_plus,Africa_Eastern,Final Energy|Electricity,EJ/yr,0.0564174,0.08116145,0.243954851,0.408797102,0.727217811,1.335595057,2.310622105,3.670331752,5.23685665,6.791930368,8.293455151
GCAM,Paris_plus,Africa_Eastern,Final Energy|Gases,EJ/yr,0.00153791,0.00491755,0.031144931,0.075911838,0.141790929,0.255866888,0.405380611,0.604677466,0.857145402,1.16882138,1.586791848
GCAM,Paris_plus,Africa_Eastern,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris_plus,Africa_Eastern,Final Energy|Hydrogen,EJ/yr,0,0,0.00548661,0.017500646,0.043179416,0.112143073,0.207201468,0.355375312,0.537315678,0.76880384,1.00714487
GCAM,Paris_plus,Africa_Eastern,Final Energy|Industry,EJ/yr,0.714545897,0.83623358,1.654915903,2.41772658,3.293260911,4.302606235,5.738622049,7.395964281,8.852911696,9.920907469,10.47545587
GCAM,Paris_plus,Africa_Eastern,Final Energy|Industry|Electricity,EJ/yr,0.02265804,0.0285127,0.09903087,0.16879115,0.31468151,0.63486063,1.1581725,1.8682249,2.64422083,3.33784703,3.91493018
GCAM,Paris_plus,Africa_Eastern,Final Energy|Industry|Gases,EJ/yr,0.00153791,0.00491755,0.017118023,0.03238377,0.045807731,0.067716895,0.084343059,0.095756011,0.102362156,0.106722849,0.121220211
GCAM,Paris_plus,Africa_Eastern,Final Energy|Industry|Hydrogen,EJ/yr,0,0,0.00545711,0.01726616,0.0424196,0.110078,0.2016322,0.342143,0.509224,0.715561,0.916576
