Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Industry,EJ/yr,1.15985679,1.13421378,1.499315989,1.51707325,1.68496719,1.83327751,1.968855288,2.13558724,2.32527784,2.513202627,2.666665996
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Transport,EJ/yr,0.60017376,0.715059343,1.01694308,1.120389373,1.278930008,1.455441783,1.65608815,1.939140737,2.294752715,2.663552883,2.965583877
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Electricity,EJ/yr,0.308381633,0.371033707,0.592468578,0.770061221,0.975066531,1.193599994,1.445224751,1.754513047,2.069045948,2.369177219,2.62951689
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Agriculture,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Buildings,EJ/yr,0.531108,0.653403499,0.92458781,1.004814231,1.139795752,1.266821336,1.391350468,1.552091437,1.731822652,1.874742244,1.951314606
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Land Use and Forestry,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|Waste,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Energy|Energy use by sector|<fill in sectors>,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Coal w/o CCS,EJ/yr,0.0367949,0.0412321,0.112597,0.050955405,0.076670936,0.071341682,0.050389782,0.040672652,0.03773369,0.040003927,0.037179256
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Coal w/ CCS,EJ/yr,0,0,0,0.014554395,0.045758064,0.102640318,0.145487218,0.180430348,0.21874331,0.257238073,0.306880744
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Gas w/o CCS,EJ/yr,1.43436,1.56052,2.31294,2.07166241,2.18333365,2.36829081,2.248777859,2.20716648,2.368053996,2.561548683,3.132933042
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Gas w/ CCS,EJ/yr,0,0,0,0.24196759,0.47468635,0.67608919,0.905092141,1.06085352,1.042196004,1.092521317,1.147246958
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Oil w/o CCS,EJ/yr,1.126807,1.3443945,1.835225,1.6992101,1.3312321,0.9724812,0.8932205,0.9529762,1.0137914,1.0227489,0.689069204
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Oil w/ CCS,EJ/yr,0,0,0,0.1033469,0.1431519,0.1656318,0.2227085,0.2856948,0.2781536,0.2880771,0.3150608
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Solar,EJ/yr,0,0,0.00252195,0.014499668,0.030366298,0.045147521,0.063722546,0.087289616,0.120878996,0.149490407,0.173958595
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Wind,EJ/yr,0.00027,9.00E-05,0.008261888,0.043238797,0.097728995,0.170016802,0.278282108,0.413996449,0.592549534,0.745624786,0.876558547
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Biomass w/ CCS,EJ/yr,0,0,0,0.318255629,0.933273906,1.434073845,1.748428079,2.134279445,2.644741311,3.15745147,4.12093386
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Biomass w/o CCS,EJ/yr,0.0943942,0.0829623,0.133188677,0.264909676,0.401071957,0.515716361,0.547166948,0.534267933,0.5127219,0.513089325,0.538664748
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Nuclear,EJ/yr,0.0247428,0.0258156,0.0309459,0.04186705,0.05398287,0.07131263,0.10012431,0.13214687,0.16401323,0.1888738,0.2094792
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Geothermal,EJ/yr,0,0,0.00822875,0.03163842,0.05604871,0.07671164,0.09668554,0.11199678,0.130627,0.14000099,0.14000093
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Peat,EJ/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Energy|Energy use by fuel|Hydro,EJ/yr,0.122414,0.120913,0.126823,0.132732,0.140903,0.151337,0.16177,0.172204,0.182637,0.193071,0.198288
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Coal w/ CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Coal w/o CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Gas w/ CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Gas w/o CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Oil w/ CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Oil w/o CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Solar,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Wind,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Biomass w/ CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Biomass w/o CCS,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Nuclear,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity by technology|Geothermal,GW,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Coal w/ CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Coal w/o CCS,GW/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Electricity|Capacity additions by technology|Gas w/ CCS,GW/yr,,,,,,,,,,,
